Site Name,36 Orana,Report Type,Yearly Report,Report Time,2024


Month,Energy(kWh)
202401,813.9
202402,684
202403,665.7
202404,681.9
202405,597.1
202406,651.4
202407,651.4
202408,758.3
202409,781.9
202410,931
202411,912.1
202412,856.6
202501,0
