Site Name,36 Orana,Report Type,Yearly Report,Report Time,2025


Month,Energy(kWh)
202501,899.4
202502,698.2
202503,739.5
202504,662.2
202505,596.7
202506,180
202507,0
202508,0
202509,0
202510,0
202511,812.2
202512,879.7
202601,0
